problem_id,problem,method,seed,evals,wall_time_s,repair_time_s
bbob-constrained_f007_i01_d05,f007_i01_d05,project,42,504,0.11696010000014212,0.060158700187457725
bbob-constrained_f007_i01_d05,f007_i01_d05,reject,42,504,0.08712090000335593,0.031567100013489835
bbob-constrained_f007_i01_d05,f007_i01_d05,penalty,42,504,0.06642020000435878,0.00031909989775158465
bbob-constrained_f007_i02_d05,f007_i02_d05,project,42,504,0.1155919000011636,0.05914080013462808
bbob-constrained_f007_i02_d05,f007_i02_d05,reject,42,504,0.09967550000874326,0.03791179992549587
bbob-constrained_f007_i02_d05,f007_i02_d05,penalty,42,504,0.08461600000737235,0.0004203002026770264
bbob-constrained_f007_i03_d05,f007_i03_d05,project,42,504,0.13137299999652896,0.06624350002675783
bbob-constrained_f007_i03_d05,f007_i03_d05,reject,42,504,0.09891480000806041,0.03523100029269699
bbob-constrained_f007_i03_d05,f007_i03_d05,penalty,42,504,0.07870680000633001,0.0004320998123148456
bbob-constrained_f008_i01_d05,f008_i01_d05,project,42,504,0.1822035999939544,0.11010829990846105
bbob-constrained_f008_i01_d05,f008_i01_d05,reject,42,504,0.8406114999961574,0.7586373997619376
bbob-constrained_f008_i01_d05,f008_i01_d05,penalty,42,504,0.08374360000016168,0.0003558001480996609
bbob-constrained_f008_i02_d05,f008_i02_d05,project,42,504,0.18551460000162479,0.11240249992988538
bbob-constrained_f008_i02_d05,f008_i02_d05,reject,42,504,1.3821838000003481,1.292756799797644
bbob-constrained_f008_i02_d05,f008_i02_d05,penalty,42,504,0.07241600000998005,0.00034549976408015937
bbob-constrained_f008_i03_d05,f008_i03_d05,project,42,160,0.03543279999576043,0.017435900037526153
bbob-constrained_f008_i03_d05,f008_i03_d05,reject,42,504,0.8885555999877397,0.8110833001846913
bbob-constrained_f008_i03_d05,f008_i03_d05,penalty,42,504,0.07347879999724682,0.00038050000148359686
bbob-constrained_f009_i01_d05,f009_i01_d05,project,42,504,0.17222880000190344,0.10729199982597493
bbob-constrained_f009_i01_d05,f009_i01_d05,reject,42,504,3.7773540999914985,3.649809600072331
bbob-constrained_f009_i01_d05,f009_i01_d05,penalty,42,504,0.08363419999659527,0.00036419995012693107
